# bin	classification	reason	lineage	lineage scores (f: 0.30)
rosella_refined_0_12.fna	taxid assigned	based on 2148/2202 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__SZUA-229	1.00;1.00;0.94;0.93;0.69;0.69;0.59
rosella_refined_0_120.fna	taxid assigned	based on 291/333 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halosegnis	1.00;0.98;0.98;0.98;0.98;0.66;0.44
rosella_refined_0_121.fna	taxid assigned (1/2)	based on 223/235 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria	1.00;0.69;0.58;0.57
rosella_refined_0_121.fna	taxid assigned (2/2)	based on 223/235 ORFs	root;d__Archaea	1.00;0.31
rosella_refined_0_122.fna	taxid assigned	based on 338/354 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halosegnis	1.00;0.74;0.74;0.74;0.74;0.53;0.38
rosella_refined_0_123.fna	taxid assigned	based on 160/168 ORFs	root;d__Bacteria;p__Planctomycetota	1.00;1.00;0.30
rosella_refined_0_124.fna	taxid assigned	based on 218/277 ORFs	root;d__Bacteria;p__Bacteroidota	1.00;0.88;0.50
rosella_refined_0_125.fna	taxid assigned	based on 395/443 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae	1.00;0.78;0.78;0.77;0.77;0.31
rosella_refined_0_126.fna	taxid assigned	based on 248/272 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales	1.00;0.88;0.88;0.88;0.88
rosella_refined_0_127.fna	taxid assigned	based on 764/790 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae	1.00;1.00;1.00;1.00;1.00;0.38
rosella_refined_0_128.fna	taxid assigned (1/2)	based on 277/298 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria	1.00;0.98;0.37;0.37
rosella_refined_0_128.fna	taxid assigned (2/2)	based on 277/298 ORFs	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia	1.00;0.98;0.53;0.32
rosella_refined_0_130.fna	taxid assigned (1/2)	based on 131/200 ORFs	root;d__Archaea	1.00;0.34
rosella_refined_0_130.fna	taxid assigned (2/2)	based on 131/200 ORFs	root;d__Bacteria	1.00;0.65
rosella_refined_0_132.fna	taxid assigned (1/2)	based on 163/179 ORFs	root;d__Bacteria;p__Planctomycetota	1.00;1.00;0.32
rosella_refined_0_132.fna	taxid assigned (2/2)	based on 163/179 ORFs	root;d__Bacteria;p__Pseudomonadota	1.00;1.00;0.44
rosella_refined_0_133.fna	taxid assigned	based on 243/391 ORFs	root;d__Bacteria;p__Bacillota;c__Bacilli;o__Izemoplasmatales;f__UBA5603;g__Zrk29	1.00;0.97;0.65;0.65;0.51;0.48;0.40
rosella_refined_0_134.fna	taxid assigned	based on 201/246 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae	1.00;0.90;0.90;0.90;0.90;0.30
rosella_refined_0_135.fna	taxid assigned	based on 161/176 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales	1.00;1.00;0.81;0.69;0.67
rosella_refined_0_137.fna	taxid assigned	based on 218/219 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas	1.00;0.99;0.99;0.99;0.99;0.97;0.96
rosella_refined_0_138.fna	taxid assigned	based on 210/213 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas	1.00;1.00;1.00;1.00;0.95;0.95;0.93
rosella_refined_0_139.fna	taxid assigned	based on 502/517 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas	1.00;0.97;0.81;0.81;0.62;0.61;0.60
rosella_refined_0_14.fna	taxid assigned	based on 501/521 ORFs	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia	1.00;0.97;0.77;0.72
rosella_refined_0_141.fna	taxid assigned	based on 202/256 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas	1.00;0.76;0.37;0.37;0.37;0.36;0.32
rosella_refined_0_142.fna	taxid assigned	based on 491/568 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__A07HB70;s__A07HB70 sp000496195*	1.00;0.97;0.97;0.97;0.97;0.44;0.32;0.32
rosella_refined_0_144.fna	taxid assigned (1/2)	based on 217/241 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales	1.00;0.42;0.42;0.42;0.42
rosella_refined_0_144.fna	taxid assigned (2/2)	based on 217/241 ORFs	root;d__Bacteria	1.00;0.58
rosella_refined_0_145.fna	taxid assigned	based on 403/411 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Natronospirillaceae;g__Saccharospirillum	1.00;1.00;1.00;1.00;0.98;0.88;0.88
rosella_refined_0_148.fna	taxid assigned	based on 799/815 ORFs	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquaticitalea;s__Aquaticitalea lipolytica	1.00;0.99;0.97;0.95;0.95;0.94;0.84;0.72
rosella_refined_0_149.fna	taxid assigned	based on 363/371 ORFs	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquaticitalea;s__Aquaticitalea lipolytica	1.00;0.97;0.94;0.93;0.93;0.93;0.83;0.74
rosella_refined_0_15.fna	taxid assigned	based on 863/908 ORFs	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia	1.00;0.97;0.78;0.72
rosella_refined_0_150.fna	taxid assigned	based on 342/363 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae	1.00;1.00;1.00;1.00;1.00;0.41
rosella_refined_0_151.fna	taxid assigned	based on 211/239 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae	1.00;0.95;0.95;0.95;0.95;0.41
rosella_refined_0_152.fna	taxid assigned (1/2)	based on 179/195 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter	1.00;0.95;0.54;0.54;0.54;0.54;0.54
rosella_refined_0_152.fna	taxid assigned (2/2)	based on 179/195 ORFs	root;d__Bacteria;p__Bacteroidota	1.00;0.95;0.40
rosella_refined_0_153.fna	taxid assigned	based on 249/253 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Natronospirillaceae;g__Saccharospirillum	1.00;0.99;0.99;0.99;0.99;0.98;0.97
rosella_refined_0_155.fna	taxid assigned (1/2)	based on 761/913 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales	1.00;0.47;0.44;0.44;0.44
rosella_refined_0_155.fna	taxid assigned (2/2)	based on 761/913 ORFs	root;d__Bacteria	1.00;0.51
rosella_refined_0_156.fna	taxid assigned	based on 433/438 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Natronospirillaceae;g__Saccharospirillum	1.00;1.00;0.99;0.99;0.98;0.94;0.93
rosella_refined_0_157.fna	taxid assigned (1/2)	based on 238/310 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales	1.00;0.64;0.62;0.62;0.62
rosella_refined_0_157.fna	taxid assigned (2/2)	based on 238/310 ORFs	root;d__Bacteria	1.00;0.31
rosella_refined_0_159.fna	taxid assigned	based on 744/878 ORFs	root;d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__Nanohalobium;s__Nanohalobium constans	1.00;0.88;0.79;0.79;0.79;0.78;0.50;0.47
rosella_refined_0_16.fna	taxid assigned	based on 220/268 ORFs	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Bact-08	1.00;0.71;0.51;0.51;0.48;0.47;0.45
rosella_refined_0_160.fna	taxid assigned (1/2)	based on 181/225 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales	1.00;0.39;0.33;0.32;0.32
rosella_refined_0_160.fna	taxid assigned (2/2)	based on 181/225 ORFs	root;d__Bacteria	1.00;0.58
rosella_refined_0_161.fna	taxid assigned	based on 133/180 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales	1.00;0.88;0.86;0.86;0.86
rosella_refined_0_162.fna	taxid assigned	based on 178/190 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas	1.00;0.86;0.55;0.55;0.38;0.38;0.34
rosella_refined_0_163.fna	taxid assigned	based on 413/445 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae	1.00;0.92;0.92;0.92;0.92;0.47
rosella_refined_0_164.fna	taxid assigned (1/2)	based on 229/319 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter	1.00;0.54;0.32;0.32;0.32;0.32;0.32
rosella_refined_0_164.fna	taxid assigned (2/2)	based on 229/319 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales	1.00;0.44;0.35;0.35;0.35
rosella_refined_0_165.fna	taxid assigned (1/2)	based on 440/485 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales	1.00;0.38;0.36;0.36;0.36
rosella_refined_0_165.fna	taxid assigned (2/2)	based on 440/485 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia	1.00;0.62;0.31;0.31
rosella_refined_0_166.fna	taxid assigned	based on 367/405 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__SW-7-71-33;g__SW-7-71-33;s__SW-7-71-33 sp003022865	1.00;0.97;0.97;0.97;0.97;0.47;0.47;0.40
rosella_refined_0_168.fna	taxid assigned	based on 252/253 ORFs	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquaticitalea;s__Aquaticitalea lipolytica	1.00;0.99;0.99;0.99;0.99;0.99;0.85;0.74
rosella_refined_0_17.fna	taxid assigned	based on 327/392 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halosegnis	1.00;0.89;0.85;0.85;0.85;0.58;0.46
rosella_refined_0_170.fna	taxid assigned	based on 314/381 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales	1.00;0.91;0.91;0.91;0.91
rosella_refined_0_171.fna	taxid assigned (1/2)	based on 187/224 ORFs	root;d__Bacteria;p__Spirochaetota;c__Spirochaetia	1.00;0.83;0.33;0.33
rosella_refined_0_171.fna	taxid assigned (2/2)	based on 187/224 ORFs	root;d__Bacteria;p__Bacteroidota	1.00;0.83;0.38
rosella_refined_0_172.fna	taxid assigned	based on 235/237 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobellus	1.00;1.00;1.00;1.00;1.00;0.92;0.84
rosella_refined_0_179.fna	taxid assigned	based on 208/218 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter	1.00;1.00;0.99;0.99;0.99;0.99;0.98
rosella_refined_0_19.fna	taxid assigned	based on 268/287 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halosegnis	1.00;0.90;0.90;0.90;0.90;0.60;0.42
rosella_refined_0_20.fna	taxid assigned	based on 204/213 ORFs	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia	1.00;0.80;0.63;0.55
rosella_refined_0_200.fna	taxid assigned	based on 303/313 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter	1.00;1.00;0.98;0.98;0.98;0.98;0.93
rosella_refined_0_209.fna	taxid assigned	based on 241/250 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobellus	1.00;1.00;1.00;1.00;1.00;0.64;0.31
rosella_refined_0_21.fna	taxid assigned	based on 660/693 ORFs	root;d__Bacteria;p__Pseudomonadota	1.00;0.91;0.35
rosella_refined_0_217.fna	taxid assigned	based on 226/235 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__A07HB70;s__A07HB70 sp000496195*	1.00;0.94;0.94;0.94;0.94;0.69;0.56;0.56
rosella_refined_0_224.fna	taxid assigned	based on 215/227 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter	1.00;0.99;0.98;0.98;0.98;0.98;0.96
rosella_refined_0_227.fna	taxid assigned	based on 314/320 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp000496175	1.00;1.00;1.00;1.00;1.00;0.83;0.66;0.41
rosella_refined_0_23.fna	taxid assigned	based on 219/235 ORFs	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia	1.00;0.96;0.80;0.67
rosella_refined_0_234.fna	taxid assigned	based on 262/281 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp000496175	1.00;0.98;0.97;0.97;0.97;0.82;0.55;0.41
rosella_refined_0_24.fna	taxid assigned	based on 646/707 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__A07HB70;s__A07HB70 sp000496195*	1.00;0.93;0.93;0.93;0.93;0.74;0.55;0.55
rosella_refined_0_25.fna	taxid assigned	based on 1249/1368 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales	1.00;0.73;0.73;0.73;0.73
rosella_refined_0_260.fna	taxid assigned	based on 278/288 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter	1.00;0.99;0.99;0.99;0.99;0.99;0.96
rosella_refined_0_261.fna	taxid assigned	based on 429/457 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp000496175	1.00;0.99;0.99;0.99;0.99;0.93;0.90;0.63
rosella_refined_0_276.fna	taxid assigned	based on 166/215 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae	1.00;0.91;0.90;0.90;0.90;0.45
rosella_refined_0_279.fna	taxid assigned	based on 232/241 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__Salinibacter sp913056185	1.00;0.94;0.91;0.91;0.91;0.89;0.83;0.30
rosella_refined_0_28.fna	taxid assigned	based on 273/282 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halosegnis	1.00;1.00;1.00;1.00;1.00;0.82;0.67
rosella_refined_0_280.fna	taxid assigned	based on 268/313 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae	1.00;0.98;0.97;0.97;0.97;0.51
rosella_refined_0_288.fna	taxid assigned	based on 248/272 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum	1.00;0.80;0.77;0.77;0.77;0.66;0.32
rosella_refined_0_29.fna	taxid assigned	based on 212/288 ORFs	root;d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__Nanohalobium;s__Nanohalobium constans	1.00;0.84;0.75;0.75;0.75;0.72;0.43;0.38
rosella_refined_0_3.fna	taxid assigned	based on 329/337 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__SZUA-229	1.00;1.00;0.95;0.95;0.71;0.71;0.63
rosella_refined_0_309.fna	taxid assigned	based on 426/430 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp000496175	1.00;1.00;1.00;1.00;1.00;0.96;0.87;0.70
rosella_refined_0_319.fna	taxid assigned	based on 275/326 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp000496175	1.00;0.88;0.82;0.82;0.82;0.75;0.69;0.52
rosella_refined_0_32.fna	taxid assigned (1/2)	based on 185/194 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales	1.00;0.60;0.59;0.59;0.59
rosella_refined_0_32.fna	taxid assigned (2/2)	based on 185/194 ORFs	root;d__Bacteria	1.00;0.40
rosella_refined_0_320.fna	taxid assigned	based on 211/212 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter immobilis_F	1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.67
rosella_refined_0_321.fna	taxid assigned	based on 230/253 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobellus	1.00;0.70;0.70;0.70;0.70;0.62;0.37
rosella_refined_0_322.fna	taxid assigned	based on 235/240 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae	1.00;0.91;0.91;0.91;0.91;0.67
rosella_refined_0_36.fna	taxid assigned	based on 1290/1381 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__A07HB70;s__A07HB70 sp000496195*	1.00;0.94;0.94;0.94;0.94;0.56;0.43;0.43
rosella_refined_0_367.fna	taxid assigned	based on 229/232 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobellus	1.00;1.00;1.00;1.00;1.00;0.92;0.75
rosella_refined_0_368.fna	taxid assigned	based on 3594/3850 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobellus	1.00;0.88;0.88;0.88;0.88;0.74;0.30
rosella_refined_0_369.fna	taxid assigned	based on 201/216 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter	1.00;0.99;0.91;0.90;0.89;0.88;0.85
rosella_refined_0_37.fna	taxid assigned	based on 231/239 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae	1.00;1.00;1.00;1.00;1.00;0.43
rosella_refined_0_370.fna	taxid assigned	based on 211/216 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter	1.00;1.00;1.00;1.00;1.00;1.00;1.00
rosella_refined_0_371.fna	taxid assigned	based on 255/296 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp000496175	1.00;0.99;0.99;0.99;0.99;0.92;0.68;0.50
rosella_refined_0_372.fna	taxid assigned	based on 289/317 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp000496175	1.00;0.98;0.97;0.97;0.97;0.88;0.64;0.50
rosella_refined_0_373.fna	taxid assigned	based on 173/226 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria	1.00;0.91;0.34;0.33
rosella_refined_0_374.fna	taxid assigned	based on 206/216 ORFs	root;d__Bacteria;p__Bacillota;c__Bacilli;o__Izemoplasmatales;f__Izemoplasmataceae;g__JAIPGF01	1.00;0.98;0.77;0.77;0.68;0.66;0.49
rosella_refined_0_375.fna	taxid assigned	based on 226/253 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Natronospirillaceae;g__Saccharospirillum	1.00;0.97;0.81;0.81;0.61;0.49;0.49
rosella_refined_0_376.fna	taxid assigned	based on 207/221 ORFs	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquaticitalea;s__Aquaticitalea sp002426015	1.00;1.00;0.97;0.97;0.93;0.93;0.78;0.68
rosella_refined_0_377.fna	taxid assigned	based on 192/212 ORFs	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Dokdonia;s__Dokdonia sp002712765	1.00;0.99;0.88;0.88;0.86;0.85;0.81;0.62
rosella_refined_0_378.fna	taxid assigned	based on 286/296 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Gracilimonas	1.00;1.00;1.00;0.98;0.98;0.98;0.90
rosella_refined_0_379.fna	taxid assigned	based on 183/309 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales	1.00;0.69;0.58;0.58;0.58
rosella_refined_0_381.fna	taxid assigned	based on 175/230 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales	1.00;0.88;0.87;0.87;0.87
rosella_refined_0_382.fna	taxid assigned	based on 103/219 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales	1.00;0.93;0.89;0.88;0.86
rosella_refined_0_383.fna	taxid assigned	based on 346/416 ORFs	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia	1.00;0.97;0.54;0.31
rosella_refined_0_384.fna	taxid assigned	based on 241/280 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria	1.00;0.94;0.58;0.53
rosella_refined_0_386.fna	taxid assigned	based on 262/327 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales	1.00;0.93;0.43;0.35;0.34
rosella_refined_0_388.fna	taxid assigned	based on 379/429 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae	1.00;0.90;0.87;0.87;0.87;0.34
rosella_refined_0_389.fna	taxid assigned	based on 328/411 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria	1.00;0.75;0.38;0.37
